team,salary,player,position,season
Memphis Grizzlies,664209,Lawrence Roberts, PF,2006-2007
Boston Celtics,664209,Ryan Gomes, SF,2006-2007
Atlanta Hawks,644209,Esteban Batista, PF,2006-2007
Utah Jazz,625000,Paul Millsap, PF,2006-2007
Charlotte Bobcats,617539,Derek Anderson, SG,2006-2007
Houston Rockets,6.00E+05,Steve Novak, SF,2006-2007
NO/Oklahoma City Hornets,516806,Devin Brown, SG,2006-2007
Atlanta Hawks,490528,Slava Medvedenko, PF,2006-2007
Boston Celtics,432000,Leon Powe, PF,2006-2007
Denver Nuggets,427163,Taurean Green, PG,2006-2007
Dallas Mavericks,427163,Josh McRoberts, PF,2006-2007
Denver Nuggets,412718,Yakhouba Diawara, SG,2006-2007
NO/Oklahoma City Hornets,412718,Marquinhos Vieira, F,2006-2007
Charlotte Bobcats,412718,Ryan Hollins, C,2006-2007
Miami Heat,412718,Robert Hite, SG,2006-2007
Detroit Pistons,412718,Will Blalock, SG,2006-2007
New Jersey Nets,412718,Hassan Adams, SF,2006-2007
Toronto Raptors,412718,Uros Slokar, PF,2006-2007
Orlando Magic,412718,James Augustine, PF,2006-2007
Dallas Mavericks,412718,Pops Mensah-Bonsu, PF,2006-2007
Philadelphia 76ers,412718,Bobby Jones, SF,2006-2007
Philadelphia 76ers,412718,Steven Smith, SF,2006-2007
Philadelphia 76ers,407313,Chris Webber, C,2006-2007
Seattle SuperSonics,406340,Andre Brown, PF,2006-2007
San Antonio Spurs,405435,James White, SG,2006-2007
Memphis Grizzlies,337238,Eddie Jones, SG,2006-2007
Memphis Grizzlies,302200,Junior Harrington, PG,2006-2007
Milwaukee Bucks,302200,Jared Reiner, C,2006-2007
Golden State Warriors,259770,Kelenna Azubuike, SF,2006-2007
Sacramento Kings,252486,Justin Williams, PF,2006-2007
Sacramento Kings,197087,Jason Hart, PG,2006-2007
Charlotte Bobcats,128935,Alan Anderson, SG,2006-2007
Washington Wizards,121388,Mike Hall, F,2006-2007
Toronto Raptors,109493,Luke Jackson, SF,2006-2007
Utah Jazz,101966,Lou Amundson, PF,2006-2007
Utah Jazz,70075,Alan Henderson, PF,2006-2007
Memphis Grizzlies,55839,Will Conroy, PG,2006-2007
Denver Nuggets,37620,Anthony Carter, PG,2006-2007
LA Clippers,23443,Von Wafer, SG,2006-2007
Boston Celtics,23751934,Kevin Garnett, PF,2007-2008
Golden State Warriors,16440000,Baron Davis, PG,2007-2008
Phoenix Suns,16440000,Shawn Marion, SG,2007-2008
Boston Celtics,16360094,Paul Pierce, SF,2007-2008
Washington Wizards,16360094,Antawn Jamison, PF,2007-2008
Boston Celtics,1.60E+07,Ray Allen, SG,2007-2008
Cleveland Cavaliers,15500000,Ben Wallace, PF,2007-2008
LA Clippers,15344000,Elton Brand, PF,2007-2008
Sacramento Kings,14983603,Mike Bibby, PG,2007-2008
Orlando Magic,14884951,Rashard Lewis, PF,2007-2008
Milwaukee Bucks,14520000,Michael Redd, SG,2007-2008
Phoenix Suns,2.10E+07,Shaquille O'Neal, C,2007-2008
Phoenix Suns,13762775,Amar'e Stoudemire, C,2007-2008
Houston Rockets,13762775,Yao Ming, C,2007-2008
Memphis Grizzlies,13735000,Pau Gasol, C,2007-2008
Utah Jazz,13735000,Andrei Kirilenko, SF,2007-2008
Atlanta Hawks,13488378,Joe Johnson, G,2007-2008
New York Knicks,13333333,Zach Randolph, PF,2007-2008
New Jersey Nets,13325000,Vince Carter, SF,2007-2008
Denver Nuggets,13250000,Kenyon Martin, PF,2007-2008
Los Angeles Lakers,13248596,Lamar Odom, PF,2007-2008
Miami Heat,13041250,Dwyane Wade, SG,2007-2008
New Jersey Nets,19728000,Jason Kidd, PG,2007-2008
Toronto Raptors,13041250,Chris Bosh, PF,2007-2008
Cleveland Cavaliers,13041250,LeBron James, SF,2007-2008
Denver Nuggets,13041250,Carmelo Anthony, PF,2007-2008
Detroit Pistons,12540000,Rasheed Wallace, PF,2007-2008
Portland Trail Blazers,12440787,Raef LaFrentz, C,2007-2008
Seattle SuperSonics,12275000,Wally Szczerbiak, SG,2007-2008
New Jersey Nets,12200000,Richard Jefferson, F,2007-2008
Cleveland Cavaliers,12000084,Larry Hughes, SG,2007-2008
Washington Wizards,11950400,Gilbert Arenas, PG,2007-2008
New Orleans Hornets,11664000,Peja Stojakovic, SF,2007-2008
Indiana Pacers,19728000,Jermaine O'Neal, C,2007-2008
Utah Jazz,11593816,Carlos Boozer, PF,2007-2008
Los Angeles Lakers,19490625,Kobe Bryant, SF,2007-2008
San Antonio Spurs,19014188,Tim Duncan, C,2007-2008
Denver Nuggets,19012500,Allen Iverson, SG,2007-2008
New York Knicks,19012500,Stephon Marbury, PG,2007-2008
Houston Rockets,18257750,Tracy McGrady, SG,2007-2008
Phoenix Suns,11375000,Steve Nash, PG,2007-2008
Chicago Bulls,11250000,Kirk Hinrich, SG,2007-2008
Charlotte Bobcats,11111110,Jason Richardson, SG,2007-2008
New Orleans Hornets,10650000,David West, F,2007-2008
Dallas Mavericks,10590500,Erick Dampier, C,2007-2008
San Antonio Spurs,10500000,Tony Parker, PG,2007-2008
Sacramento Kings,10500000,Brad Miller, C,2007-2008
Philadelphia 76ers,10251435,Samuel Dalembert, C,2007-2008
Cleveland Cavaliers,10142156,Zydrunas Ilgauskas, C,2007-2008
Denver Nuggets,1.00E+07,Marcus Camby, C,2007-2008
Detroit Pistons,1.00E+07,Richard Hamilton, SG,2007-2008
Philadelphia 76ers,9600000,Andre Miller, PG,2007-2008
Dallas Mavericks,9500000,Josh Howard, SF,2007-2008
Charlotte Bobcats,9500000,Gerald Wallace, SF,2007-2008
Memphis Grizzlies,9379279,Kwame Brown, C,2007-2008
Milwaukee Bucks,9280000,Bobby Simmons, SF,2007-2008
Indiana Pacers,9206349,Troy Murphy, PF,2007-2008
San Antonio Spurs,9079811,Manu Ginobili, G,2007-2008
Phoenix Suns,9.00E+06,Boris Diaw, C,2007-2008
Utah Jazz,9.00E+06,Mehmet Okur, C,2007-2008
New York Knicks,8947543,Eddy Curry, C,2007-2008
Miami Heat,8937500,Jason Williams, PG,2007-2008
Dallas Mavericks,8898000,Jason Terry, G,2007-2008
Denver Nuggets,8840000,Nene Hilario, C,2007-2008
Detroit Pistons,8675620,Tayshaun Prince, SF,2007-2008
LA Clippers,8600000,Chris Kaman, C,2007-2008
Chicago Bulls,8500000,Andres Nocioni, SF,2007-2008
Washington Wizards,8468990,Caron Butler, SF,2007-2008
Golden State Warriors,8425625,Al Harrington, PF,2007-2008
Memphis Grizzlies,8376194,Mike Miller, SG,2007-2008
LA Clippers,8350000,Cuttino Mobley, SG,2007-2008
Minnesota Timberwolves,8329640,Antoine Walker, PF,2007-2008
Toronto Raptors,8275000,T.J. Ford, PG,2007-2008
Portland Trail Blazers,8250000,Darius Miles, SF,2007-2008
Indiana Pacers,8219008,Mike Dunleavy, SG,2007-2008
New York Knicks,8105500,Quentin Richardson, SF,2007-2008
Seattle SuperSonics,8091188,Kurt Thomas, PF,2007-2008
New York Knicks,7920000,Jamal Crawford, SG,2007-2008
Miami Heat,7901040,Mark Blount, C,2007-2008
Sacramento Kings,7875000,Kenny Thomas, PF,2007-2008
Memphis Grizzlies,6100000,Jason Collins, C,2007-2008
Orlando Magic,6061274,Dwight Howard, C,2007-2008
Minnesota Timberwolves,6050000,Marko Jaric, PG,2007-2008
Miami Heat,6050000,Udonis Haslem, PF,2007-2008
Utah Jazz,6.00E+06,Matt Harpring, SF,2007-2008
Houston Rockets,5883600,Shane Battier, SF,2007-2008
Memphis Grizzlies,5850000,Brian Cardinal, PF,2007-2008
Houston Rockets,5826893,Mike James, PG,2007-2008
Washington Wizards,5800000,Antonio Daniels, PG,2007-2008
Memphis Grizzlies,5800000,Stromile Swift, PF,2007-2008
Sacramento Kings,5800000,Shareef Abdur-Rahim, PF,2007-2008
New York Knicks,5800000,Jerome James, C,2007-2008
Portland Trail Blazers,5762575,Joel Przybilla, C,2007-2008
Milwaukee Bucks,5751130,Dan Gadzuric, C,2007-2008
Seattle SuperSonics,5750000,Nick Collison, F,2007-2008
Houston Rockets,5670000,Bobby Jackson, PG,2007-2008
New York Knicks,5632200,Jared Jeffries, PF,2007-2008
Charlotte Bobcats,5632200,Nazr Mohammed, C,2007-2008
Los Angeles Lakers,5632200,Vladimir Radmanovic, SF,2007-2008
Phoenix Suns,5600000,Leandro Barbosa, G,2007-2008
Seattle SuperSonics,5566965,Donyell Marshall, PF,2007-2008
Toronto Raptors,7840000,Rasho Nesterovic, C,2007-2008
Milwaukee Bucks,7750000,Mo Williams, PG,2007-2008
Sacramento Kings,7400000,Metta World Peace, SF,2007-2008
New York Knicks,7101250,Malik Rose, PF,2007-2008
LA Clippers,7.00E+06,Corey Maggette, SF,2007-2008
Memphis Grizzlies,7.00E+06,Aaron McKie, SG,2007-2008
Miami Heat,6819000,Ricky Davis, SG,2007-2008
Dallas Mavericks,6750000,Jerry Stackhouse, SF,2007-2008
Cleveland Cavaliers,6703125,Eric Snow, PG,2007-2008
Golden State Warriors,6630000,Stephen Jackson, SF,2007-2008
Seattle SuperSonics,6500000,Luke Ridnour, PG,2007-2008
Seattle SuperSonics,6500000,Chris Wilcox, PF,2007-2008
Cleveland Cavaliers,6453416,Drew Gooden, PF,2007-2008
Detroit Pistons,6373900,Antonio McDyess, PF,2007-2008
Orlando Magic,6373900,Hedo Turkoglu, SF,2007-2008
Indiana Pacers,6373900,Marquis Daniels, SG,2007-2008
Washington Wizards,6373900,Etan Thomas, C,2007-2008
Atlanta Hawks,6306182,Speedy Claxton, PG,2007-2008
Indiana Pacers,6300000,Jamaal Tinsley, PG,2007-2008
Indiana Pacers,5500000,Jeff Foster, PF,2007-2008
Charlotte Bobcats,5450000,Matt Carroll, SG,2007-2008
Charlotte Bobcats,5427307,Emeka Okafor, C,2007-2008
Sacramento Kings,5356000,Mikki Moore, C,2007-2008
Cleveland Cavaliers,5356000,Anderson Varejao, C,2007-2008
Toronto Raptors,5356000,Jason Kapono, SG,2007-2008
Cleveland Cavaliers,5205000,Joe Smith, PF,2007-2008
Orlando Magic,5200000,Tony Battie, C,2007-2008
New Orleans Hornets,5.00E+06,Morris Peterson, SG,2007-2008
Washington Wizards,5.00E+06,Brendan Haywood, C,2007-2008
Milwaukee Bucks,4991520,Andrew Bogut, C,2007-2008
Denver Nuggets,4952380,Eduardo Najera, PF,2007-2008
Chicago Bulls,4881669,Ben Gordon, SG,2007-2008
Toronto Raptors,4838880,Andrea Bargnani, C,2007-2008
Sacramento Kings,4752000,John Salmons, SF,2007-2008
Phoenix Suns,4750000,Raja Bell, SG,2007-2008
Portland Trail Blazers,4662000,Greg Oden, C,2007-2008
Houston Rockets,4550000,Rafer Alston, PG,2007-2008
Utah Jazz,4500000,Kyle Korver, SG,2007-2008
Boston Celtics,4480912,Kendrick Perkins, C,2007-2008
Atlanta Hawks,4466040,Marvin Williams, PF,2007-2008
LA Clippers,4404629,Shaun Livingston, PG,2007-2008
Los Angeles Lakers,4352000,Derek Fisher, PG,2007-2008
New Jersey Nets,4350000,Trenton Hassell, SF,2007-2008
Toronto Raptors,4350000,Anthony Parker, SG,2007-2008
Portland Trail Blazers,4329360,LaMarcus Aldridge, PF,2007-2008
Philadelphia 76ers,4320000,Reggie Evans, C,2007-2008
Cleveland Cavaliers,4250000,Sasha Pavlovic, SG,2007-2008
Portland Trail Blazers,4250000,Steve Blake, PG,2007-2008
New Jersey Nets,4236997,Keith Van Horn, PF,2007-2008
Cleveland Cavaliers,4172432,Damon Jones, PG,2007-2008
Seattle SuperSonics,4171200,Kevin Durant, SF,2007-2008
San Antonio Spurs,4125000,Bruce Bowen, SF,2007-2008
Utah Jazz,4010640,Deron Williams, PG,2007-2008
Portland Trail Blazers,4.00E+06,Travis Outlaw, SF,2007-2008
Toronto Raptors,4.00E+06,Jorge Garbajosa, PF,2007-2008
Los Angeles Lakers,4.00E+06,Luke Walton, SF,2007-2008
Orlando Magic,4.00E+06,Carlos Arroyo, PG,2007-2008
New Jersey Nets,3995003,Devin Harris, PG,2007-2008
Phoenix Suns,3966207,Marcus Banks, PG,2007-2008
Washington Wizards,3942000,Darius Songaila, PF,2007-2008
Charlotte Bobcats,3887880,Adam Morrison, SF,2007-2008
Houston Rockets,3840000,Bob Sura, PG,2007-2008
Orlando Magic,3818750,Pat Garrity, PF,2007-2008
Minnesota Timberwolves,3750746,Greg Buckner, SG,2007-2008
Atlanta Hawks,3745800,Al Horford, C,2007-2008
Detroit Pistons,3666667,Amir Johnson, C,2007-2008
Denver Nuggets,3638600,Steven Hunter, C,2007-2008
San Antonio Spurs,3630000,Robert Horry, PF,2007-2008
New Orleans Hornets,3615960,Chris Paul, PG,2007-2008
Orlando Magic,3596000,Keyon Dooling, PG,2007-2008
Chicago Bulls,3505320,Tyrus Thomas, PF,2007-2008
San Antonio Spurs,3500000,Fabricio Oberto, C,2007-2008
Orlando Magic,3500000,Brian Cook, PF,2007-2008
Golden State Warriors,3470771,Mickael Pietrus, SF,2007-2008
Philadelphia 76ers,3441900,Kevin Ollie, PG,2007-2008
Memphis Grizzlies,3377160,Mike Conley, PG,2007-2008
Washington Wizards,3348215,DeShawn Stevenson, SG,2007-2008
Chicago Bulls,3320339,Luol Deng, SF,2007-2008
New Orleans Hornets,3315000,Rasual Butler, SF,2007-2008
New York Knicks,3300000,Fred Jones, SG,2007-2008
Charlotte Bobcats,3274440,Raymond Felton, PG,2007-2008
Sacramento Kings,3250000,Lorenzen Wright, PF,2007-2008
Chicago Bulls,3248000,Chris Duhon, PG,2007-2008
Boston Celtics,3206000,James Posey, SF,2007-2008
Sacramento Kings,3174240,Shelden Williams, C,2007-2008
Minnesota Timberwolves,3120000,Michael Doleac, C,2007-2008
Milwaukee Bucks,3106000,Charlie Bell, SG,2007-2008
San Antonio Spurs,3103000,Michael Finley, SG,2007-2008
Orlando Magic,3100000,Trevor Ariza, SF,2007-2008
Philadelphia 76ers,3094000,Willie Green, SG,2007-2008
Seattle SuperSonics,3058200,Jeff Green, SF,2007-2008
Seattle SuperSonics,3.00E+06,Francisco Elson, C,2007-2008
Milwaukee Bucks,3.00E+06,Jake Voskuhl, C,2007-2008
Denver Nuggets,3.00E+06,Chucky Atkins, PG,2007-2008
Boston Celtics,3.00E+06,Brian Scalabrine, PF,2007-2008
Portland Trail Blazers,2974080,Martell Webster, SF,2007-2008
Houston Rockets,2916667,Luis Scola, F,2007-2008
Seattle SuperSonics,2900000,Damien Wilkins, SG,2007-2008
Portland Trail Blazers,2900000,James Jones, SG,2007-2008
Portland Trail Blazers,2883120,Brandon Roy, SG,2007-2008
Sacramento Kings,2860000,Anthony Johnson, PG,2007-2008
Philadelphia 76ers,2804889,Andre Iguodala, SG,2007-2008
Milwaukee Bucks,2777760,Yi Jianlian, SF,2007-2008
Miami Heat,2762500,Alonzo Mourning, C,2007-2008
Charlotte Bobcats,2750000,Primoz Brezec, C,2007-2008
Milwaukee Bucks,2715000,Charlie Villanueva, PF,2007-2008
San Antonio Spurs,2700000,Matt Bonner, C,2007-2008
Golden State Warriors,2636696,Andris Biedrins, C,2007-2008
Minnesota Timberwolves,2631840,Randy Foye, SG,2007-2008
Seattle SuperSonics,2601113,Robert Swift, C,2007-2008
Minnesota Timberwolves,2562426,Sebastian Telfair, PG,2007-2008
Toronto Raptors,2550000,Juan Dixon, SG,2007-2008
Minnesota Timberwolves,2535720,Corey Brewer, F,2007-2008
Toronto Raptors,2522913,Kris Humphries, PF,2007-2008
Los Angeles Lakers,2500000,Chris Mihm, C,2007-2008
New Jersey Nets,2500000,Bostjan Nachbar, SF,2007-2008
Portland Trail Blazers,2487240,Channing Frye, F,2007-2008
Minnesota Timberwolves,2480885,Al Jefferson, C,2007-2008
Washington Wizards,2479339,Andray Blatche, C,2007-2008
Toronto Raptors,2471604,Jose Calderon, PG,2007-2008
Orlando Magic,2440000,Keith Bogans, SG,2007-2008
Houston Rockets,2439333,Steve Francis, PG,2007-2008
Minnesota Timberwolves,2420000,Mark Madsen, PF,2007-2008
Memphis Grizzlies,2411160,Rudy Gay, SF,2007-2008
Charlotte Bobcats,2376000,Othella Harrington, PF,2007-2008
Dallas Mavericks,2369111,Devean George, SF,2007-2008
Minnesota Timberwolves,2358433,Kirk Snyder, SG,2007-2008
Utah Jazz,2350000,Jarron Collins, C,2007-2008
San Antonio Spurs,2350000,Jackie Butler, C,2007-2008
Golden State Warriors,2323080,Brandan Wright, F,2007-2008
Utah Jazz,2300000,Jason Hart, PG,2007-2008
Indiana Pacers,2286360,Ike Diogu, PF,2007-2008
Houston Rockets,2284200,Bonzi Wells, SG,2007-2008
Detroit Pistons,2250000,Lindsey Hunter, SG,2007-2008
Atlanta Hawks,2243543,Josh Smith, PF,2007-2008
Golden State Warriors,2216400,Patrick O'Bryant, C,2007-2008
Orlando Magic,2208960,D.J. Augustin, PG,2007-2008
Los Angeles Lakers,2172000,Andrew Bynum, C,2007-2008
New Jersey Nets,2146000,DeSagana Diop, C,2007-2008
Chicago Bulls,2135400,Joakim Noah, C,2007-2008
Denver Nuggets,2134067,JR Smith, SG,2007-2008
Seattle SuperSonics,2105520,Mouhamed Sene, C,2007-2008
Miami Heat,2040746,Dorell Wright, SF,2007-2008
Sacramento Kings,2028600,Spencer Hawes, PF,2007-2008
Orlando Magic,2000160,JJ Redick, SG,2007-2008
Orlando Magic,1961609,Jameer Nelson, G,2007-2008
Houston Rockets,1944000,Vassilis Spanoulis, PG,2007-2008
Charlotte Bobcats,1944000,Walter Herrmann Heinrich, PF,2007-2008
Chicago Bulls,1928598,Victor Khryapa, PF,2007-2008
Atlanta Hawks,1927080,Acie Law, PG,2007-2008
New Orleans Hornets,1900200,Hilton Armstrong, PF,2007-2008
LA Clippers,1890000,Aaron Williams, C,2007-2008
Seattle SuperSonics,1889760,Delonte West, SG,2007-2008
New Jersey Nets,1889760,Nenad Krstic, C,2007-2008
Toronto Raptors,1868141,Carlos Delfino, SG,2007-2008
Boston Celtics,1868141,Tony Allen, SG,2007-2008
Charlotte Bobcats,1862160,Sean May, C,2007-2008
Philadelphia 76ers,1830720,Thaddeus Young, PF,2007-2008
Phoenix Suns,1830000,Grant Hill, SF,2007-2008
New Orleans Hornets,1830000,Jannero Pargo, PG,2007-2008
Dallas Mavericks,1830000,Eddie Jones, SG,2007-2008
Sacramento Kings,1808121,Kevin Martin, SG,2007-2008
Chicago Bulls,1805160,Thabo Sefolosha, SF,2007-2008
Golden State Warriors,1800000,Kosta Perovic, C,2007-2008
Minnesota Timberwolves,1769160,Rashad McCants, SG,2007-2008
Los Angeles Lakers,1756951,Sasha Vujacic, SG,2007-2008
New Jersey Nets,1750000,David Wesley, SG,2007-2008
Houston Rockets,1750000,Chuck Hayes, PF,2007-2008
Orlando Magic,1740000,Maurice Evans, SG,2007-2008
New Orleans Hornets,1739160,Julian Wright, SF,2007-2008
Indiana Pacers,1734316,David Harrison, C,2007-2008
Utah Jazz,1715040,Ronnie Brewer, SF,2007-2008
New Jersey Nets,1680600,Antoine Wright, SF,2007-2008
LA Clippers,1652280,Al Thornton, SF,2007-2008
Cleveland Cavaliers,1629120,Cedric Simmons, SF,2007-2008
LA Clippers,1600000,Brevin Knight, PG,2007-2008
Brooklyn Nets,1600000,Clifford Robinson, PF,2007-2008
Toronto Raptors,1596600,Joey Graham, SF,2007-2008
Seattle SuperSonics,1593000,Adrian Griffin, SG,2007-2008
Detroit Pistons,1569600,Rodney Stuckey, PG,2007-2008
Philadelphia 76ers,1547760,Rodney Carney, SG,2007-2008
Minnesota Timberwolves,1529873,Justin Reed, SF,2007-2008
Indiana Pacers,1516800,Danny Granger, SF,2007-2008
Indiana Pacers,1500000,Travis Diener, PG,2007-2008
Boston Celtics,1500000,Eddie House, SG,2007-2008
Washington Wizards,1491240,Nick Young, G,2007-2008
Indiana Pacers,1470360,Shawne Williams, SF,2007-2008
Minnesota Timberwolves,1440960,Gerald Green, SG,2007-2008
New Jersey Nets,1416600,Sean Williams, PF,2007-2008
Memphis Grizzlies,1376040,Hakim Warrick, PF,2007-2008
Golden State Warriors,1345800,Marco Belinelli, G,2007-2008
Washington Wizards,1345800,Oleksiy Pecherov, C,2007-2008
Sacramento Kings,1333920,Quincy Douby, SG,2007-2008
Memphis Grizzlies,1285200,Javaris Crittenton, PG,2007-2008
New York Knicks,1280640,Renaldo Balkman, SF,2007-2008
LA Clippers,1276320,Alexis Ajinca, C,2007-2008
New York Knicks,1268160,Nate Robinson, PG,2007-2008
Philadelphia 76ers,1233840,Jason Smith, PF,2007-2008
Boston Celtics,1229280,Rajon Rondo, PG,2007-2008
San Antonio Spurs,1219590,Jacque Vaughn, PG,2007-2008
Orlando Magic,1219590,Adonal Foyle, C,2007-2008
Portland Trail Blazers,1217400,Jarrett Jack, G,2007-2008
Detroit Pistons,1200000,Jarvis Hayes, SF,2007-2008
Cleveland Cavaliers,1200000,Devin Brown, SG,2007-2008
Miami Heat,1184400,Daequan Cook, SG,2007-2008
New Jersey Nets,1180200,Marcus Williams, PG,2007-2008
Sacramento Kings,1168800,Francisco Garcia, SG,2007-2008
Charlotte Bobcats,1137000,Jared Dudley, SF,2007-2008
New Jersey Nets,1133040,Josh Boone, C,2007-2008
Philadelphia 76ers,1130000,Shavlik Randolph, PF,2007-2008
Houston Rockets,1122000,Luther Head, PG,2007-2008
Philadelphia 76ers,1103225,Calvin Booth, C,2007-2008
Utah Jazz,1100000,Ronnie Price, PG,2007-2008
New York Knicks,1091640,Wilson Chandler, SF,2007-2008
Memphis Grizzlies,1087680,Kyle Lowry, PG,2007-2008
Madrid Real Madrid,1084080,Rudy Fernandez, SG,2007-2008
Brooklyn Nets,1080000,Bernard Robinson, SG,2007-2008
Seattle SuperSonics,1077120,Johan Petro, C,2007-2008
Cleveland Cavaliers,1044120,Shannon Brown, PG,2007-2008
Detroit Pistons,1041360,Jason Maxiell, PF,2007-2008
Denver Nuggets,1011360,Linas Kleiza, SF,2007-2008
Los Angeles Lakers,1009560,Jordan Farmar, PG,2007-2008
Utah Jazz,1005960,Morris Almond, SG,2007-2008
San Antonio Spurs,1.00E+06,Ime Udoka, SG,2007-2008
Miami Heat,997800,Wayne Simien, PF,2007-2008
New York Knicks,990600,David Lee, PF,2007-2008
New Jersey Nets,974400,Maurice Ager, SF,2007-2008
Miami Heat,973328,Earl Barron, C,2007-2008
Houston Rockets,972720,Aaron Brooks, G,2007-2008
New York Knicks,967320,Mardy Collins, PG,2007-2008
Utah Jazz,945610,CJ Miles, SF,2007-2008
Washington Wizards,945610,Donell Taylor, PG,2007-2008
Detroit Pistons,944520,Arron Afflalo, G,2007-2008
Phoenix Suns,931920,Alando Tucker, SF,2007-2008
New Orleans Hornets,895341,Melvin Ely, C,2007-2008
New Orleans Hornets,885294,Chris Andersen, PF,2007-2008
Washington Wizards,862456,Mike Hall, F,2007-2008
Sacramento Kings,862456,Justin Williams, PF,2007-2008
Brooklyn Nets,850000,Mile Ilic, C,2007-2008
LA Clippers,826046,Quinton Ross, SF,2007-2008
Portland Trail Blazers,817000,Sergio Rodriguez, PG,2007-2008
New York Knicks,810000,Randolph Morris, C,2007-2008
Seattle SuperSonics,802000,Mickael Gelabale, SF,2007-2008
LA Clippers,8.00E+05,Josh Powell, PF,2007-2008
Atlanta Hawks,783000,Salim Stoudamire, SG,2007-2008
Indiana Pacers,770610,Kareem Rush, SG,2007-2008
LA Clippers,770610,Daniel Ewing, PG,2007-2008
LA Clippers,770610,Ruben Patterson, PF,2007-2008
Dallas Mavericks,770610,Brandon Bass, PF,2007-2008
Charlotte Bobcats,770610,Derek Anderson, SG,2007-2008
Charlotte Bobcats,770610,Jeff McInnis, PG,2007-2008
Phoenix Suns,770610,Sean Marks, PF,2007-2008
Memphis Grizzlies,770610,Casey Jacobsen, SG,2007-2008
Phoenix Suns,770610,Brian Skinner, PF,2007-2008
Portland Trail Blazers,770610,Von Wafer, SG,2007-2008
Boston Celtics,770610,Scot Pollard, C,2007-2008
Dallas Mavericks,761544,Juwan Howard, PF,2007-2008
Utah Jazz,750000,Kyrylo Fesenko, C,2007-2008
Atlanta Hawks,729000,Solomon Jones, PF,2007-2008
Seattle SuperSonics,693549,Eddie Gill, PG,2007-2008
Minnesota Timberwolves,687456,Craig Smith, PF,2007-2008
Charlotte Bobcats,687456,Ryan Hollins, C,2007-2008
Denver Nuggets,687456,Yakhouba Diawara, SG,2007-2008
Boston Celtics,687456,Leon Powe, PF,2007-2008
LA Clippers,687456,Paul Davis, C,2007-2008
Los Angeles Lakers,687456,Devin Green, SG,2007-2008
Golden State Warriors,687456,Kelenna Azubuike, SF,2007-2008
Boston Celtics,650000,Gabe Pruitt, PG,2007-2008
Denver Nuggets,634620,Jelani McCoy, PF,2007-2008
San Antonio Spurs,625840,Ian Mahinmi, C,2007-2008
Sacramento Kings,584757,Dahntay Jones, SG,2007-2008
LA Clippers,566625,Richie Frahm, SG,2007-2008
Sacramento Kings,561544,Beno Udrih, PG,2007-2008
Memphis Grizzlies,538090,Juan Carlos Navarro, PG,2007-2008
Orlando Magic,427163,Marcin Gortat, C,2007-2008
Boston Celtics,427163,Glen Davis, PF,2007-2008
Chicago Bulls,427163,JamesOn Curry, PG,2007-2008
Portland Trail Blazers,427163,Josh McRoberts, PF,2007-2008
Los Angeles Lakers,427163,Coby Karl, PG,2007-2008
Toronto Raptors,427163,Jamario Moon, SF,2007-2008
Washington Wizards,427163,Dominic McGuire, PF,2007-2008
Cleveland Cavaliers,427163,Demetris Nichols, SF,2007-2008
Milwaukee Bucks,427163,Ramon Sessions, G,2007-2008
null Unknown,427163,Larry Turner, NA,2007-2008
null Unknown,427163,Elton Brown, NA,2007-2008
Minnesota Timberwolves,427163,Chris Richard, PF,2007-2008
Boston Celtics,427163,Brandon Wallace, NA,2007-2008
Golden State Warriors,358107,Chris Webber, C,2007-2008
Charlotte Bobcats,349041,Earl Boykins, PG,2007-2008
Memphis Grizzlies,335442,Damon Stoudamire, PG,2007-2008
Indiana Pacers,319116,Courtney Sims, C,2007-2008
San Antonio Spurs,278912,Keith Langford, SG,2007-2008
Golden State Warriors,251272,C.J. Watson, PG,2007-2008
Memphis Grizzlies,238588,Jeremy Richardson, SG,2007-2008
New Jersey Nets,231183,Jamaal Magloire, C,2007-2008
Boston Celtics,226650,P.J. Brown, PF,2007-2008
Indiana Pacers,213051,Ronald Murray, SG,2007-2008
Utah Jazz,199452,Gordan Giricek, SG,2007-2008
Minnesota Timberwolves,199452,Theo Ratliff, C,2007-2008
Sacramento Kings,199452,Tyronn Lue, PG,2007-2008
Miami Heat,181320,Smush Parker, PG,2007-2008
San Antonio Spurs,172177,Brent Barry, SG,2007-2008
Houston Rockets,142201,Loren Woods, C,2007-2008
LA Clippers,125636,Nick Fazekas, PF,2007-2008
Seattle SuperSonics,122391,Ira Newble, SF,2007-2008
Houston Rockets,100509,Mike Harris, SF,2007-2008
Los Angeles Lakers,90660,Didier Ilunga-Mbenga, C,2007-2008
Cleveland Cavaliers,87945,Lance Allred, C,2007-2008
Miami Heat,67844,Blake Ahearn, G,2007-2008
Miami Heat,67844,Stephane Lasme, PF,2007-2008
Seattle SuperSonics,63462,Ronald Dupree, SF,2007-2008
San Antonio Spurs,50254,Marcus Williams, SG,2007-2008
Miami Heat,36395,Kasib Powell, SF,2007-2008
San Antonio Spurs,27198,DerMarr Johnson, SF,2007-2008
Memphis Grizzlies,24263,Bobby Jones, SF,2007-2008
Toronto Raptors,4533,Linton Johnson, PF,2007-2008
New Jersey Nets,4533,Billy Thomas, SG,2007-2008
Boston Celtics,24751934,Kevin Garnett, PF,2008-2009
Boston Celtics,18388430,Ray Allen, SG,2008-2009
Dallas Mavericks,18077904,Dirk Nowitzki, PF,2008-2009
